text,label
"NASA confirms presence of water on Mars.",real
"Government launches new policies to support small businesses.",real
"COVID-19 vaccine turns people into zombies!",fake
"Aliens have landed in New York, says secret government document!",fake
"Stock markets show steady growth amid economic recovery.",real
"Scientists discover a new way to reverse aging!",fake
"World Health Organization announces new COVID-19 guidelines.",real
"5G technology is being used to control human minds!",fake
"Schools to remain open despite rising flu cases.",real
"Celebrity fakes their own death to escape debt!",fake
"Scientists find evidence of parallel universes.",fake
